Degree,HSV_Hue Mean,HSV_Hue Std,Hue Std,B Mean,A Mean,Contrast,Homogeneity,Y Std,A Std,Correlation
1,0.3,0.21,0.19,0.43,0.52,0.28,0.72,0.27,0.19,0.88
1,0.3,0.21,0.19,0.43,0.52,0.28,0.72,0.27,0.19,0.88
1,0.3,0.21,0.19,0.43,0.52,0.28,0.72,0.27,0.19,0.88
1,0.3,0.21,0.19,0.43,0.52,0.28,0.72,0.27,0.19,0.88
1,0.3,0.21,0.19,0.43,0.52,0.28,0.72,0.27,0.19,0.88
1,0.3,0.21,0.19,0.43,0.52,0.28,0.72,0.27,0.19,0.88
1,0.3,0.21,0.19,0.43,0.52,0.28,0.72,0.27,0.19,0.88
1,0.3,0.21,0.19,0.43,0.52,0.28,0.72,0.27,0.19,0.88
1,0.3,0.21,0.19,0.43,0.52,0.28,0.72,0.27,0.19,0.88
1,0.3,0.21,0.19,0.43,0.52,0.28,0.72,0.27,0.19,0.88
1,0.05,0.05,0.2,0.71,0.37,0.02,0.6,0.28,0.2,0.98
1,0.05,0.05,0.2,0.71,0.37,0.02,0.6,0.28,0.2,0.98
1,0.05,0.05,0.2,0.71,0.37,0.02,0.6,0.28,0.2,0.98
1,0.05,0.05,0.2,0.71,0.37,0.02,0.6,0.28,0.2,0.98
1,0.05,0.05,0.2,0.71,0.37,0.02,0.6,0.28,0.2,0.98
1,0.05,0.05,0.2,0.71,0.37,0.02,0.6,0.28,0.2,0.98
1,0.05,0.05,0.2,0.71,0.37,0.02,0.6,0.28,0.2,0.98
1,0.05,0.05,0.2,0.71,0.37,0.02,0.6,0.28,0.2,0.98
1,0.05,0.05,0.2,0.71,0.37,0.02,0.6,0.28,0.2,0.98
1,0.05,0.05,0.2,0.71,0.37,0.02,0.6,0.28,0.2,0.98
1,0.05,0.05,0.2,0.71,0.37,0.02,0.6,0.28,0.2,0.98
1,0.05,0.05,0.2,0.71,0.37,0.02,0.6,0.28,0.2,0.98
1,0.06,0.12,0.14,0.41,0.49,0.09,0.68,0.3,0.18,0.96
1,0.06,0.12,0.14,0.41,0.49,0.09,0.68,0.3,0.18,0.96
1,0.06,0.12,0.14,0.41,0.49,0.09,0.68,0.3,0.18,0.96
1,0.06,0.12,0.14,0.41,0.49,0.09,0.68,0.3,0.18,0.96
1,0.06,0.12,0.14,0.41,0.49,0.09,0.68,0.3,0.18,0.96
1,0.06,0.12,0.14,0.41,0.49,0.09,0.68,0.3,0.18,0.96
1,0.06,0.12,0.14,0.41,0.49,0.09,0.68,0.3,0.18,0.96
1,0.06,0.12,0.14,0.41,0.49,0.09,0.68,0.3,0.18,0.96
1,0.06,0.12,0.14,0.41,0.49,0.09,0.68,0.3,0.18,0.96
1,0.06,0.12,0.14,0.41,0.49,0.09,0.68,0.3,0.18,0.96
1,0.06,0.12,0.14,0.41,0.49,0.09,0.68,0.3,0.18,0.96
1,0.06,0.12,0.14,0.41,0.49,0.09,0.68,0.3,0.18,0.96
1,0.74,0.42,0.16,0.68,0.65,0.08,0.83,0.25,0.15,0.96
1,0.74,0.42,0.16,0.68,0.65,0.08,0.83,0.25,0.15,0.96
1,0.74,0.42,0.16,0.68,0.65,0.08,0.83,0.25,0.15,0.96
1,0.74,0.42,0.16,0.68,0.65,0.08,0.83,0.25,0.15,0.96
1,0.74,0.42,0.16,0.68,0.65,0.08,0.83,0.25,0.15,0.96
1,0.74,0.42,0.16,0.68,0.65,0.08,0.83,0.25,0.15,0.96
1,0.74,0.42,0.16,0.68,0.65,0.08,0.83,0.25,0.15,0.96
1,0.74,0.42,0.16,0.68,0.65,0.08,0.83,0.25,0.15,0.96
1,0.74,0.42,0.16,0.68,0.65,0.08,0.83,0.25,0.15,0.96
1,0.74,0.42,0.16,0.68,0.65,0.08,0.83,0.25,0.15,0.96
1,0.74,0.42,0.16,0.68,0.65,0.08,0.83,0.25,0.15,0.96
1,0.74,0.42,0.16,0.68,0.65,0.08,0.83,0.25,0.15,0.96
1,0.74,0.43,0.16,0.72,0.67,0.13,0.78,0.26,0.13,0.93
1,0.74,0.43,0.16,0.72,0.67,0.13,0.78,0.26,0.13,0.93
1,0.74,0.43,0.16,0.72,0.67,0.13,0.78,0.26,0.13,0.93
1,0.74,0.43,0.16,0.72,0.67,0.13,0.78,0.26,0.13,0.93
1,0.74,0.43,0.16,0.72,0.67,0.13,0.78,0.26,0.13,0.93
1,0.74,0.43,0.16,0.72,0.67,0.13,0.78,0.26,0.13,0.93
1,0.74,0.43,0.16,0.72,0.67,0.13,0.78,0.26,0.13,0.93
1,0.74,0.43,0.16,0.72,0.67,0.13,0.78,0.26,0.13,0.93
1,0.74,0.43,0.16,0.72,0.67,0.13,0.78,0.26,0.13,0.93
1,0.74,0.43,0.16,0.72,0.67,0.13,0.78,0.26,0.13,0.93
1,0.74,0.43,0.16,0.72,0.67,0.13,0.78,0.26,0.13,0.93
1,0.74,0.43,0.16,0.72,0.67,0.13,0.78,0.26,0.13,0.93
1,0.02,0.06,0.15,0.49,0.69,0.13,0.67,0.35,0.12,0.94
1,0.02,0.06,0.15,0.49,0.69,0.13,0.67,0.35,0.12,0.94
1,0.02,0.06,0.15,0.49,0.69,0.13,0.67,0.35,0.12,0.94
1,0.02,0.06,0.15,0.49,0.69,0.13,0.67,0.35,0.12,0.94
1,0.02,0.06,0.15,0.49,0.69,0.13,0.67,0.35,0.12,0.94
1,0.02,0.06,0.15,0.49,0.69,0.13,0.67,0.35,0.12,0.94
1,0.02,0.06,0.15,0.49,0.69,0.13,0.67,0.35,0.12,0.94
1,0.02,0.06,0.15,0.49,0.69,0.13,0.67,0.35,0.12,0.94
1,0.02,0.06,0.15,0.49,0.69,0.13,0.67,0.35,0.12,0.94
1,0.02,0.06,0.15,0.49,0.69,0.13,0.67,0.35,0.12,0.94
1,0.02,0.06,0.15,0.49,0.69,0.13,0.67,0.35,0.12,0.94
1,0.02,0.06,0.15,0.49,0.69,0.13,0.67,0.35,0.12,0.94
1,0.28,0.42,0.14,0.7,0.56,0.02,0.74,0.33,0.2,0.99
1,0.28,0.42,0.14,0.7,0.56,0.02,0.74,0.33,0.2,0.99
1,0.28,0.42,0.14,0.7,0.56,0.02,0.74,0.33,0.2,0.99
1,0.28,0.42,0.14,0.7,0.56,0.02,0.74,0.33,0.2,0.99
1,0.28,0.42,0.14,0.7,0.56,0.02,0.74,0.33,0.2,0.99
1,0.28,0.42,0.14,0.7,0.56,0.02,0.74,0.33,0.2,0.99
1,0.28,0.42,0.14,0.7,0.56,0.02,0.74,0.33,0.2,0.99
1,0.28,0.42,0.14,0.7,0.56,0.02,0.74,0.33,0.2,0.99
1,0.28,0.42,0.14,0.7,0.56,0.02,0.74,0.33,0.2,0.99
1,0.28,0.42,0.14,0.7,0.56,0.02,0.74,0.33,0.2,0.99
1,0.28,0.42,0.14,0.7,0.56,0.02,0.74,0.33,0.2,0.99
1,0.28,0.42,0.14,0.7,0.56,0.02,0.74,0.33,0.2,0.99
1,0.34,0.4,0.17,0.65,0.49,0.07,0.7,0.31,0.3,0.97
1,0.34,0.4,0.17,0.65,0.49,0.07,0.7,0.31,0.3,0.97
1,0.34,0.4,0.17,0.65,0.49,0.07,0.7,0.31,0.3,0.97
1,0.34,0.4,0.17,0.65,0.49,0.07,0.7,0.31,0.3,0.97
1,0.34,0.4,0.17,0.65,0.49,0.07,0.7,0.31,0.3,0.97
1,0.34,0.4,0.17,0.65,0.49,0.07,0.7,0.31,0.3,0.97
1,0.34,0.4,0.17,0.65,0.49,0.07,0.7,0.31,0.3,0.97
1,0.34,0.4,0.17,0.65,0.49,0.07,0.7,0.31,0.3,0.97
1,0.34,0.4,0.17,0.65,0.49,0.07,0.7,0.31,0.3,0.97
1,0.34,0.4,0.17,0.65,0.49,0.07,0.7,0.31,0.3,0.97
1,0.34,0.4,0.17,0.65,0.49,0.07,0.7,0.31,0.3,0.97
1,0.34,0.4,0.17,0.65,0.49,0.07,0.7,0.31,0.3,0.97
1,0.77,0.41,0.1,0.52,0.73,0.13,0.77,0.35,0.12,0.96
1,0.77,0.41,0.1,0.52,0.73,0.13,0.77,0.35,0.12,0.96
1,0.77,0.41,0.1,0.52,0.73,0.13,0.77,0.35,0.12,0.96
1,0.77,0.41,0.1,0.52,0.73,0.13,0.77,0.35,0.12,0.96
1,0.77,0.41,0.1,0.52,0.73,0.13,0.77,0.35,0.12,0.96
1,0.77,0.41,0.1,0.52,0.73,0.13,0.77,0.35,0.12,0.96
1,0.77,0.41,0.1,0.52,0.73,0.13,0.77,0.35,0.12,0.96
1,0.77,0.41,0.1,0.52,0.73,0.13,0.77,0.35,0.12,0.96
1,0.77,0.41,0.1,0.52,0.73,0.13,0.77,0.35,0.12,0.96
1,0.77,0.41,0.1,0.52,0.73,0.13,0.77,0.35,0.12,0.96
1,0.77,0.41,0.1,0.52,0.73,0.13,0.77,0.35,0.12,0.96
1,0.77,0.41,0.1,0.52,0.73,0.13,0.77,0.35,0.12,0.96
1,0.02,0.03,0.18,0.8,0.78,0.18,0.56,0.28,0.09,0.93
1,0.02,0.03,0.18,0.8,0.78,0.18,0.56,0.28,0.09,0.93
1,0.02,0.03,0.18,0.8,0.78,0.18,0.56,0.28,0.09,0.93
1,0.02,0.03,0.18,0.8,0.78,0.18,0.56,0.28,0.09,0.93
1,0.02,0.03,0.18,0.8,0.78,0.18,0.56,0.28,0.09,0.93
1,0.02,0.03,0.18,0.8,0.78,0.18,0.56,0.28,0.09,0.93
1,0.02,0.03,0.18,0.8,0.78,0.18,0.56,0.28,0.09,0.93
1,0.02,0.03,0.18,0.8,0.78,0.18,0.56,0.28,0.09,0.93
1,0.02,0.03,0.18,0.8,0.78,0.18,0.56,0.28,0.09,0.93
1,0.02,0.03,0.18,0.8,0.78,0.18,0.56,0.28,0.09,0.93
1,0.02,0.03,0.18,0.8,0.78,0.18,0.56,0.28,0.09,0.93
1,0.02,0.03,0.18,0.8,0.78,0.18,0.56,0.28,0.09,0.93
1,0.33,0.17,0.16,0.37,0.44,0.08,0.78,0.25,0.19,0.93
1,0.33,0.17,0.16,0.37,0.44,0.08,0.78,0.25,0.19,0.93
1,0.33,0.17,0.16,0.37,0.44,0.08,0.78,0.25,0.19,0.93
1,0.33,0.17,0.16,0.37,0.44,0.08,0.78,0.25,0.19,0.93
1,0.33,0.17,0.16,0.37,0.44,0.08,0.78,0.25,0.19,0.93
1,0.33,0.17,0.16,0.37,0.44,0.08,0.78,0.25,0.19,0.93
1,0.33,0.17,0.16,0.37,0.44,0.08,0.78,0.25,0.19,0.93
1,0.33,0.17,0.16,0.37,0.44,0.08,0.78,0.25,0.19,0.93
1,0.33,0.17,0.16,0.37,0.44,0.08,0.78,0.25,0.19,0.93
1,0.33,0.17,0.16,0.37,0.44,0.08,0.78,0.25,0.19,0.93
1,0.33,0.17,0.16,0.37,0.44,0.08,0.78,0.25,0.19,0.93
1,0.33,0.17,0.16,0.37,0.44,0.08,0.78,0.25,0.19,0.93
1,0.08,0.25,0.14,0.47,0.55,0.05,0.64,0.35,0.2,0.97
1,0.08,0.25,0.14,0.47,0.55,0.05,0.64,0.35,0.2,0.97
1,0.08,0.25,0.14,0.47,0.55,0.05,0.64,0.35,0.2,0.97
1,0.08,0.25,0.14,0.47,0.55,0.05,0.64,0.35,0.2,0.97
1,0.08,0.25,0.14,0.47,0.55,0.05,0.64,0.35,0.2,0.97
1,0.08,0.25,0.14,0.47,0.55,0.05,0.64,0.35,0.2,0.97
1,0.08,0.25,0.14,0.47,0.55,0.05,0.64,0.35,0.2,0.97
1,0.08,0.25,0.14,0.47,0.55,0.05,0.64,0.35,0.2,0.97
1,0.08,0.25,0.14,0.47,0.55,0.05,0.64,0.35,0.2,0.97
1,0.08,0.25,0.14,0.47,0.55,0.05,0.64,0.35,0.2,0.97
1,0.08,0.25,0.14,0.47,0.55,0.05,0.64,0.35,0.2,0.97
1,0.08,0.25,0.14,0.47,0.55,0.05,0.64,0.35,0.2,0.97
1,0.12,0.32,0.11,0.66,0.8,0.13,0.55,0.32,0.09,0.95
1,0.12,0.32,0.11,0.66,0.8,0.13,0.55,0.32,0.09,0.95
1,0.12,0.32,0.11,0.66,0.8,0.13,0.55,0.32,0.09,0.95
1,0.12,0.32,0.11,0.66,0.8,0.13,0.55,0.32,0.09,0.95
1,0.12,0.32,0.11,0.66,0.8,0.13,0.55,0.32,0.09,0.95
1,0.12,0.32,0.11,0.66,0.8,0.13,0.55,0.32,0.09,0.95
1,0.12,0.32,0.11,0.66,0.8,0.13,0.55,0.32,0.09,0.95
1,0.12,0.32,0.11,0.66,0.8,0.13,0.55,0.32,0.09,0.95
1,0.12,0.32,0.11,0.66,0.8,0.13,0.55,0.32,0.09,0.95
1,0.12,0.32,0.11,0.66,0.8,0.13,0.55,0.32,0.09,0.95
1,0.12,0.32,0.11,0.66,0.8,0.13,0.55,0.32,0.09,0.95
1,0.12,0.32,0.11,0.66,0.8,0.13,0.55,0.32,0.09,0.95
1,0.91,0.26,0.15,0.29,0.52,0.06,0.65,0.3,0.14,0.96
1,0.91,0.26,0.15,0.29,0.52,0.06,0.65,0.3,0.14,0.96
1,0.91,0.26,0.15,0.29,0.52,0.06,0.65,0.3,0.14,0.96
1,0.91,0.26,0.15,0.29,0.52,0.06,0.65,0.3,0.14,0.96
1,0.91,0.26,0.15,0.29,0.52,0.06,0.65,0.3,0.14,0.96
1,0.91,0.26,0.15,0.29,0.52,0.06,0.65,0.3,0.14,0.96
1,0.91,0.26,0.15,0.29,0.52,0.06,0.65,0.3,0.14,0.96
1,0.91,0.26,0.15,0.29,0.52,0.06,0.65,0.3,0.14,0.96
1,0.91,0.26,0.15,0.29,0.52,0.06,0.65,0.3,0.14,0.96
1,0.91,0.26,0.15,0.29,0.52,0.06,0.65,0.3,0.14,0.96
1,0.91,0.26,0.15,0.29,0.52,0.06,0.65,0.3,0.14,0.96
1,0.91,0.26,0.15,0.29,0.52,0.06,0.65,0.3,0.14,0.96
1,0.03,0.1,0.24,0.72,0.77,0.11,0.67,0.31,0.12,0.96
1,0.03,0.1,0.24,0.72,0.77,0.11,0.67,0.31,0.12,0.96
1,0.03,0.1,0.24,0.72,0.77,0.11,0.67,0.31,0.12,0.96
1,0.03,0.1,0.24,0.72,0.77,0.11,0.67,0.31,0.12,0.96
1,0.03,0.1,0.24,0.72,0.77,0.11,0.67,0.31,0.12,0.96
1,0.03,0.1,0.24,0.72,0.77,0.11,0.67,0.31,0.12,0.96
1,0.03,0.1,0.24,0.72,0.77,0.11,0.67,0.31,0.12,0.96
1,0.03,0.1,0.24,0.72,0.77,0.11,0.67,0.31,0.12,0.96
1,0.03,0.1,0.24,0.72,0.77,0.11,0.67,0.31,0.12,0.96
1,0.03,0.1,0.24,0.72,0.77,0.11,0.67,0.31,0.12,0.96
1,0.03,0.1,0.24,0.72,0.77,0.11,0.67,0.31,0.12,0.96
1,0.03,0.1,0.24,0.72,0.77,0.11,0.67,0.31,0.12,0.96
1,0.09,0.25,0.08,0.76,0.77,0.44,0.51,0.31,0.12,0.83
1,0.09,0.25,0.08,0.76,0.77,0.44,0.51,0.31,0.12,0.83
1,0.09,0.25,0.08,0.76,0.77,0.44,0.51,0.31,0.12,0.83
1,0.09,0.25,0.08,0.76,0.77,0.44,0.51,0.31,0.12,0.83
1,0.09,0.25,0.08,0.76,0.77,0.44,0.51,0.31,0.12,0.83
1,0.09,0.25,0.08,0.76,0.77,0.44,0.51,0.31,0.12,0.83
1,0.09,0.25,0.08,0.76,0.77,0.44,0.51,0.31,0.12,0.83
1,0.09,0.25,0.08,0.76,0.77,0.44,0.51,0.31,0.12,0.83
1,0.09,0.25,0.08,0.76,0.77,0.44,0.51,0.31,0.12,0.83
1,0.09,0.25,0.08,0.76,0.77,0.44,0.51,0.31,0.12,0.83
1,0.09,0.25,0.08,0.76,0.77,0.44,0.51,0.31,0.12,0.83
1,0.09,0.25,0.08,0.76,0.77,0.44,0.51,0.31,0.12,0.83
1,0.06,0.04,0.2,0.61,0.55,0.13,0.61,0.33,0.22,0.96
1,0.06,0.04,0.2,0.61,0.55,0.13,0.61,0.33,0.22,0.96
1,0.06,0.04,0.2,0.61,0.55,0.13,0.61,0.33,0.22,0.96
1,0.06,0.04,0.2,0.61,0.55,0.13,0.61,0.33,0.22,0.96
1,0.06,0.04,0.2,0.61,0.55,0.13,0.61,0.33,0.22,0.96
1,0.06,0.04,0.2,0.61,0.55,0.13,0.61,0.33,0.22,0.96
1,0.06,0.04,0.2,0.61,0.55,0.13,0.61,0.33,0.22,0.96
1,0.06,0.04,0.2,0.61,0.55,0.13,0.61,0.33,0.22,0.96
1,0.06,0.04,0.2,0.61,0.55,0.13,0.61,0.33,0.22,0.96
1,0.06,0.04,0.2,0.61,0.55,0.13,0.61,0.33,0.22,0.96
1,0.06,0.04,0.2,0.61,0.55,0.13,0.61,0.33,0.22,0.96
1,0.06,0.04,0.2,0.61,0.55,0.13,0.61,0.33,0.22,0.96
1,0.61,0.2,0.18,0.48,0.45,0.08,0.78,0.24,0.22,0.96
1,0.61,0.2,0.18,0.48,0.45,0.08,0.78,0.24,0.22,0.96
1,0.61,0.2,0.18,0.48,0.45,0.08,0.78,0.24,0.22,0.96
1,0.61,0.2,0.18,0.48,0.45,0.08,0.78,0.24,0.22,0.96
1,0.61,0.2,0.18,0.48,0.45,0.08,0.78,0.24,0.22,0.96
1,0.61,0.2,0.18,0.48,0.45,0.08,0.78,0.24,0.22,0.96
1,0.61,0.2,0.18,0.48,0.45,0.08,0.78,0.24,0.22,0.96
1,0.61,0.2,0.18,0.48,0.45,0.08,0.78,0.24,0.22,0.96
1,0.61,0.2,0.18,0.48,0.45,0.08,0.78,0.24,0.22,0.96
1,0.61,0.2,0.18,0.48,0.45,0.08,0.78,0.24,0.22,0.96
1,0.61,0.2,0.18,0.48,0.45,0.08,0.78,0.24,0.22,0.96
1,0.61,0.2,0.18,0.48,0.45,0.08,0.78,0.24,0.22,0.96
1,0.06,0.22,0.13,0.57,0.76,0.13,0.71,0.3,0.09,0.92
1,0.06,0.22,0.13,0.57,0.76,0.13,0.71,0.3,0.09,0.92
1,0.06,0.22,0.13,0.57,0.76,0.13,0.71,0.3,0.09,0.92
1,0.06,0.22,0.13,0.57,0.76,0.13,0.71,0.3,0.09,0.92
1,0.06,0.22,0.13,0.57,0.76,0.13,0.71,0.3,0.09,0.92
1,0.06,0.22,0.13,0.57,0.76,0.13,0.71,0.3,0.09,0.92
1,0.06,0.22,0.13,0.57,0.76,0.13,0.71,0.3,0.09,0.92
1,0.06,0.22,0.13,0.57,0.76,0.13,0.71,0.3,0.09,0.92
1,0.06,0.22,0.13,0.57,0.76,0.13,0.71,0.3,0.09,0.92
1,0.06,0.22,0.13,0.57,0.76,0.13,0.71,0.3,0.09,0.92
1,0.06,0.22,0.13,0.57,0.76,0.13,0.71,0.3,0.09,0.92
1,0.06,0.22,0.13,0.57,0.76,0.13,0.71,0.3,0.09,0.92
1,0.93,0.21,0.17,0.29,0.55,0.1,0.63,0.28,0.21,0.93
1,0.93,0.21,0.17,0.29,0.55,0.1,0.63,0.28,0.21,0.93
1,0.93,0.21,0.17,0.29,0.55,0.1,0.63,0.28,0.21,0.93
1,0.93,0.21,0.17,0.29,0.55,0.1,0.63,0.28,0.21,0.93
1,0.93,0.21,0.17,0.29,0.55,0.1,0.63,0.28,0.21,0.93
1,0.93,0.21,0.17,0.29,0.55,0.1,0.63,0.28,0.21,0.93
1,0.93,0.21,0.17,0.29,0.55,0.1,0.63,0.28,0.21,0.93
1,0.93,0.21,0.17,0.29,0.55,0.1,0.63,0.28,0.21,0.93
1,0.93,0.21,0.17,0.29,0.55,0.1,0.63,0.28,0.21,0.93
1,0.93,0.21,0.17,0.29,0.55,0.1,0.63,0.28,0.21,0.93
1,0.93,0.21,0.17,0.29,0.55,0.1,0.63,0.28,0.21,0.93
1,0.93,0.21,0.17,0.29,0.55,0.1,0.63,0.28,0.21,0.93
1,0.45,0.49,0.14,0.21,0.41,0.12,0.67,0.38,0.05,0.95
1,0.45,0.49,0.14,0.21,0.41,0.12,0.67,0.38,0.05,0.95
1,0.45,0.49,0.14,0.21,0.41,0.12,0.67,0.38,0.05,0.95
1,0.45,0.49,0.14,0.21,0.41,0.12,0.67,0.38,0.05,0.95
1,0.45,0.49,0.14,0.21,0.41,0.12,0.67,0.38,0.05,0.95
1,0.45,0.49,0.14,0.21,0.41,0.12,0.67,0.38,0.05,0.95
1,0.45,0.49,0.14,0.21,0.41,0.12,0.67,0.38,0.05,0.95
1,0.45,0.49,0.14,0.21,0.41,0.12,0.67,0.38,0.05,0.95
1,0.45,0.49,0.14,0.21,0.41,0.12,0.67,0.38,0.05,0.95
1,0.45,0.49,0.14,0.21,0.41,0.12,0.67,0.38,0.05,0.95
1,0.45,0.49,0.14,0.21,0.41,0.12,0.67,0.38,0.05,0.95
1,0.45,0.49,0.14,0.21,0.41,0.12,0.67,0.38,0.05,0.95
1,0.85,0.33,0.11,0.18,0.29,0.25,0.7,0.23,0.06,0.88
1,0.85,0.33,0.11,0.18,0.29,0.25,0.7,0.23,0.06,0.88
1,0.85,0.33,0.11,0.18,0.29,0.25,0.7,0.23,0.06,0.88
1,0.85,0.33,0.11,0.18,0.29,0.25,0.7,0.23,0.06,0.88
1,0.85,0.33,0.11,0.18,0.29,0.25,0.7,0.23,0.06,0.88
1,0.85,0.33,0.11,0.18,0.29,0.25,0.7,0.23,0.06,0.88
1,0.85,0.33,0.11,0.18,0.29,0.25,0.7,0.23,0.06,0.88
1,0.85,0.33,0.11,0.18,0.29,0.25,0.7,0.23,0.06,0.88
1,0.85,0.33,0.11,0.18,0.29,0.25,0.7,0.23,0.06,0.88
1,0.85,0.33,0.11,0.18,0.29,0.25,0.7,0.23,0.06,0.88
1,0.85,0.33,0.11,0.18,0.29,0.25,0.7,0.23,0.06,0.88
1,0.85,0.33,0.11,0.18,0.29,0.25,0.7,0.23,0.06,0.88
1,0.07,0.19,0.18,0.36,0.4,0.16,0.67,0.27,0.13,0.92
1,0.07,0.19,0.18,0.36,0.4,0.16,0.67,0.27,0.13,0.92
1,0.07,0.19,0.18,0.36,0.4,0.16,0.67,0.27,0.13,0.92
1,0.07,0.19,0.18,0.36,0.4,0.16,0.67,0.27,0.13,0.92
1,0.07,0.19,0.18,0.36,0.4,0.16,0.67,0.27,0.13,0.92
1,0.07,0.19,0.18,0.36,0.4,0.16,0.67,0.27,0.13,0.92
1,0.07,0.19,0.18,0.36,0.4,0.16,0.67,0.27,0.13,0.92
1,0.07,0.19,0.18,0.36,0.4,0.16,0.67,0.27,0.13,0.92
1,0.07,0.19,0.18,0.36,0.4,0.16,0.67,0.27,0.13,0.92
1,0.07,0.19,0.18,0.36,0.4,0.16,0.67,0.27,0.13,0.92
1,0.07,0.19,0.18,0.36,0.4,0.16,0.67,0.27,0.13,0.92
1,0.07,0.19,0.18,0.36,0.4,0.16,0.67,0.27,0.13,0.92
1,0.1,0.28,0.11,0.52,0.66,0.08,0.81,0.29,0.1,0.95
1,0.1,0.28,0.11,0.52,0.66,0.08,0.81,0.29,0.1,0.95
1,0.1,0.28,0.11,0.52,0.66,0.08,0.81,0.29,0.1,0.95
1,0.1,0.28,0.11,0.52,0.66,0.08,0.81,0.29,0.1,0.95
1,0.1,0.28,0.11,0.52,0.66,0.08,0.81,0.29,0.1,0.95
1,0.1,0.28,0.11,0.52,0.66,0.08,0.81,0.29,0.1,0.95
1,0.1,0.28,0.11,0.52,0.66,0.08,0.81,0.29,0.1,0.95
1,0.1,0.28,0.11,0.52,0.66,0.08,0.81,0.29,0.1,0.95
1,0.1,0.28,0.11,0.52,0.66,0.08,0.81,0.29,0.1,0.95
1,0.1,0.28,0.11,0.52,0.66,0.08,0.81,0.29,0.1,0.95
1,0.1,0.28,0.11,0.52,0.66,0.08,0.81,0.29,0.1,0.95
1,0.1,0.28,0.11,0.52,0.66,0.08,0.81,0.29,0.1,0.95
1,0.97,0.11,0.03,0.67,0.26,0.32,0.79,0.31,0.04,0.89
1,0.97,0.11,0.03,0.67,0.26,0.32,0.79,0.31,0.04,0.89
1,0.97,0.11,0.03,0.67,0.26,0.32,0.79,0.31,0.04,0.89
1,0.97,0.11,0.03,0.67,0.26,0.32,0.79,0.31,0.04,0.89
1,0.97,0.11,0.03,0.67,0.26,0.32,0.79,0.31,0.04,0.89
1,0.97,0.11,0.03,0.67,0.26,0.32,0.79,0.31,0.04,0.89
1,0.97,0.11,0.03,0.67,0.26,0.32,0.79,0.31,0.04,0.89
1,0.97,0.11,0.03,0.67,0.26,0.32,0.79,0.31,0.04,0.89
1,0.97,0.11,0.03,0.67,0.26,0.32,0.79,0.31,0.04,0.89
1,0.97,0.11,0.03,0.67,0.26,0.32,0.79,0.31,0.04,0.89
1,0.97,0.11,0.03,0.67,0.26,0.32,0.79,0.31,0.04,0.89
1,0.97,0.11,0.03,0.67,0.26,0.32,0.79,0.31,0.04,0.89
1,0.91,0.08,0.06,0.27,0.36,0.11,0.67,0.26,0.05,0.92
1,0.91,0.08,0.06,0.27,0.36,0.11,0.67,0.26,0.05,0.92
1,0.91,0.08,0.06,0.27,0.36,0.11,0.67,0.26,0.05,0.92
1,0.91,0.08,0.06,0.27,0.36,0.11,0.67,0.26,0.05,0.92
1,0.91,0.08,0.06,0.27,0.36,0.11,0.67,0.26,0.05,0.92
1,0.91,0.08,0.06,0.27,0.36,0.11,0.67,0.26,0.05,0.92
1,0.91,0.08,0.06,0.27,0.36,0.11,0.67,0.26,0.05,0.92
1,0.91,0.08,0.06,0.27,0.36,0.11,0.67,0.26,0.05,0.92
1,0.91,0.08,0.06,0.27,0.36,0.11,0.67,0.26,0.05,0.92
1,0.91,0.08,0.06,0.27,0.36,0.11,0.67,0.26,0.05,0.92
1,0.91,0.08,0.06,0.27,0.36,0.11,0.67,0.26,0.05,0.92
1,0.91,0.08,0.06,0.27,0.36,0.11,0.67,0.26,0.05,0.92
1,0.09,0.27,0.04,0.85,0.59,0.05,0.67,0.29,0.15,0.98
1,0.09,0.27,0.04,0.85,0.59,0.05,0.67,0.29,0.15,0.98
1,0.09,0.27,0.04,0.85,0.59,0.05,0.67,0.29,0.15,0.98
1,0.09,0.27,0.04,0.85,0.59,0.05,0.67,0.29,0.15,0.98
1,0.09,0.27,0.04,0.85,0.59,0.05,0.67,0.29,0.15,0.98
1,0.09,0.27,0.04,0.85,0.59,0.05,0.67,0.29,0.15,0.98
1,0.09,0.27,0.04,0.85,0.59,0.05,0.67,0.29,0.15,0.98
1,0.09,0.27,0.04,0.85,0.59,0.05,0.67,0.29,0.15,0.98
1,0.09,0.27,0.04,0.85,0.59,0.05,0.67,0.29,0.15,0.98
1,0.09,0.27,0.04,0.85,0.59,0.05,0.67,0.29,0.15,0.98
1,0.09,0.27,0.04,0.85,0.59,0.05,0.67,0.29,0.15,0.98
1,0.09,0.27,0.04,0.85,0.59,0.05,0.67,0.29,0.15,0.98
1,0.74,0.41,0.15,0.58,0.62,0.18,0.53,0.37,0.11,0.96
1,0.74,0.41,0.15,0.58,0.62,0.18,0.53,0.37,0.11,0.96
1,0.74,0.41,0.15,0.58,0.62,0.18,0.53,0.37,0.11,0.96
1,0.74,0.41,0.15,0.58,0.62,0.18,0.53,0.37,0.11,0.96
1,0.74,0.41,0.15,0.58,0.62,0.18,0.53,0.37,0.11,0.96
1,0.74,0.41,0.15,0.58,0.62,0.18,0.53,0.37,0.11,0.96
1,0.74,0.41,0.15,0.58,0.62,0.18,0.53,0.37,0.11,0.96
1,0.74,0.41,0.15,0.58,0.62,0.18,0.53,0.37,0.11,0.96
1,0.74,0.41,0.15,0.58,0.62,0.18,0.53,0.37,0.11,0.96
